text,label
かの力に 入隊拒否 されちゃったらしいじゃん,0
ちょっと リンメイ,
拒否じゃなくて 通知が来なかっただけ！,
同じことじゃん,0
アハハ…,
でも その腕じゃ,
戦士になったところで お荷物だし よかったんじゃない？,
あたし めっちゃ トレーニングしてるし,
お荷物になんか なんないもん ほら！,
はいはい じゃあね アハハハ…,
う,
絶対 あたしが倒したガドルを 解体させてやる,
はぐっ,
んっ んっ んっ…,
フッ…,
あのさ,
あたし これでよかったと思うよ,
え？,
あんたの まっすぐなとこ好きだけど,
でも タンカーで 戦士になる人なんて,
ほとんどいないし,
それに 危険だよ,0
お父さんだって…,
だから 私は ナツメに生きててほしい,
フッ…,
ありがと,
あ… フェイ,
いいなあ ギアの人たちは,
ん…,
あたしも 戦士の一族に 生まれたかったなあ,
ねっ だから ガドルとの戦いは,
ギアの人たちに任せてさ,
私たちは… って ナツメ 何やんの？,
え？,
仕事よ,
院長先生が 紹介してくれたんでしょ？,
そうなんだけど…,1
うわあああ！,
たっか…,
おい んっ！,
あっ あの,
あたし ナツメっていいます,2
今日から カブラギ組に お世話になります,2
よろしくお願いします,2
ああ ついてこい,
あ…,
あっ あの,
カブラギ組長のことは 組長って呼べばいいでしょうか？,
あの？,
よし 行け,
え…,
うあああ！,
うっ！,
ハァ…,
ちょっと 何すんですか！,2
これしきでビビってたら 仕事にならん,
お前は そこの掃除だ,0
え？,
うわっ 臭っ！ なんですか これ？,2
腐ったガドルの肉片と 粘液の塊だ,
げえ…,
私 装甲修理の仕事って…,
新入りは５年間掃除,
あ…,
んっ！,
ん？,
んっ…,
タンカーの探索隊,
クレナイさん いるかな？,
ハァ…,
何やってる あ…,
手を動かせ,
あ… すっ すいません！,
フゥ フゥ フゥ…,
だあああ…,
５年も掃除かあ…,
はむっ…,
組長って 毎日それですよね？,2
さすがに 飽きちゃわないですか？,2
問題ない,
あ… じゃあ それが なんか栄養満点な牛乳とか,
ただの水だ,
黙って食え,
ハァ…,
つら…,
はあ,1
お疲れちゃん,
ギャー！ イッ…,
大丈夫？,
あ… お疲れさまです ペンネルさん,2
フェンネルね,
どう 仕事は？ もう慣れた？,
はい！,
組長は 相変わらず 全然しゃべってくんないですけど…,2
まっ あの人は 生まれたときから ああで,
死ぬまで ああなんだよ きっと,0
でさ,
“ああ”な人のことは忘れて どう？ 軽く飯でも,
あ いや,
ナッちゃんの 歓迎会も兼ねてさ,
明日 休みだし,
どうですかねえ…,2
あ…,
ん？,
ハァ…,
おとなしくしてろよ,
こんばんは…,
え？,
ちょっと 組長！,
開けてくださいよ,2
それでたたくな なんの用だ？,
これ 詰所に忘れてあったんで,
ああ…,
あっ！ ちょっ…,
ぶう,
いや あのですね,2
もしよかったら 私の 歓迎会してもらえませんか？,
何？,
明日休みですし もう準備も万端ですし？,2
遠慮する,
むぎゅ…,
なんなんだ お前,0
ふい,
あの その忘れ物 組長のです,2
私が 気付いて 持ってきたっていう,
わざわざ ここまで,
んっ んっ ぷはあ！,
で！ そんなこんなで,
かの力に入隊できなかったんです,2
ひどくないすか？,
戦士になんかなって どうするつもりだったんだ？,
決まってるじゃないすか,
戦いを終わらせるために 頑張りたいんです,2
ムダだな,0
え？,
かの力には タンカーの戦士も 所属してるが,
人にも満たないし,
何より ガドルとの戦いは 終わらない,
むだ死にするより ギアに尽くしたほうが 効率がいい,
でも それじゃ いつまでたっても 何も変わらないじゃないですか,2
何をしても 変えられないものがある,
諦めろ,
組長も みんなと 同じこと言うんですね,2
外の人間は 絶滅した,
この中で 平和に人生を 全うできるだけで十分だろ,
でも！,
ガドルがいなくなれば 本当の平和が来るんですよ,2
夢を見るのは勝手だが,
お前の仕事は 装甲の掃除だ,0
もちろん 仕事は ちゃんとやります,2
でも どうしても 戦士になりたいんです,2
装甲修理人は 装甲修理人として生きるしかない,
それが現実だ,
何も望むなってことですか？,2
そう聞こえたなら そういうことだ,
いっ！,
あれ？ ドアが… 止まれ！,
はい？,
あ… 話は終わりだ 帰れ,
あ… でも 片づけないと,
そんなのはいい ほら 早く帰れ,
さっさと行け,
ギャ！,
えっ！,
何？,
え？ これってガドル？,
うわっ なんで こんなとこに！ ハァ…,
ギュッ…,
チャンス！ 動かないでよ！,
ぐひっ！,
イッタ…,
やめろ こいつは 危険なヤツじゃない,
え？,
あ…,
あ…,
どうしたんですか？ こいつ,2
仕事中に拾ったんだ,
名前は？ あ…,
そんなもんはない,
え かわいそうですよ,2
ん？,
何？ くれるの？,
偉いねえ お前,0
よし じゃあ 今から お前はパイプだ,0
勝手に おかしな名前をつけるな,
でも 気に入ったみたい,
アハハハ…,
ガドルは 親のかたきなんだろ？,1
ん でも この子は違います,2
フゥ…,
あ…,
うっ うあ！,
チップ回収完了しました,
ご苦労さまでした,
エラーコードは です,2
カブラギさん,
あなたは バグの発見 検挙率が著しく低い,
もっと励んでくださいよ,2
それでは “世界にバグは不要です”,2
カブラギさん？,
世界にバグは不要です,2
いいでしょう,
やっぱり 納得いきません,
この前 言いましたよね？ 何も望むなって,
組長の言うとおりなのかも しれませんけど,1
でも あたしにとっては そんなの死んでるのと同じです,2
勝手にしろ,
あの…,
ハッ！,
ガドル！,
ミナト総司令 ガドル群を捕捉しました,
状況は？,
距離,
会敵予想時間は です,2
中型はオクトゥル トリピアス セルドラム,
ユムシ メモス イガーの６種 計体,
大型は ダイランド１体です,2
全速停止,
デカダンス 起動準備だ,
この場で迎え撃て！,
デカダンス全速停止,
アンカー発射,
第１から第４の多重装甲展開！,
デカダンス 固定完了,
メイン出撃ゲート 展開,
出動だ！,
今日も狩りまくれ！,
おお でっけえ！,
ビビんじゃねえぞ,
誰がだ！,
むだ口たたいてんじゃないよ あんたたち 行くよ！,
ヒャッハ うお！,
行くぞ 行くぞ 行くぞ！,
うおおお！,
非戦闘員は ただちに避難してください,2
繰り返します,2
非戦闘員は ただちに 避難してください,2
おい 急げ！,
めんどくせえなあ,
は？,
え？ はい？,
おいおい 頼むぜ こんなときにスタックかよ？,0
あっ！,
ヤベえ ヤベえ！,
焦るな フェンネル,
分かってますよ,2
あと１年で修理人なんだ って！ うわっ！,1
おいっ おわっ！,
フェンネルさん？,
うわあああ！,
ぐっ！,
おわあああ！,
ひっ！,
あああああ！ うわあああ！,
行くぞ！ 撃て！,
うおおお！,
ゾーン 開いたぞ,
行け行け！,
殺せ！,
やれ！,
ぐああ…,
ぎゃああ！,
うわああ…,
うあ…,
くっ！,
ノロマ野郎が！,
んっ！ ふっ！,
ぐああ…,
はあっ！,
こっちだよ！,0
ああっ ああ…,
うああああ！,
うああ…,
んっ！,
くっ…,
借りるぞ,
ひゃああ… クソ野郎,
てめえのせいだぞ,
ううっ！,
あっ ああ…,
あ…,
キャー！,
え？,
く… 組長？,
うわあああっ！,
うわっ！,
うわっ おえっ…,
ギャー！,
おい 見ろよ！,
なんだ あいつ すげえ！,1
ふんっ！,
い… 生きてる…,
すごいっす… 組長…,
うっ おえええ…,
うえっ…,
あとは頼んだぞ ミナト,
ダイランド 射程圏内に入りました,
吸血銛 発射！,
ダイランドがゾーンを展開,
オキソン注入 開始します,2
起動準備 完了しました,
デカダンス 起動だ！,
了解！,
デカダンス上部装甲起動,
メインコア―,
格納開始します！,2
疑似導光繊維 点火,
耐衝撃装具 起動します,2
耐衝撃装具 装備完了しました,
デカダンスキャノン 搬出開始,
デカダンス 合掌完了,
連結準備 開始します,2
デカダンスキャノン起動,
緩衝スタンド 展開します,2
神経ケーブル接続します,2
接続完了,
デカダンス迎撃形態 起動完了しました！,
）,
うおおお！,
ギャー！,
うわああ！,
すっげ…,
た… 助かった,
うおおお！,
やったぜ！,0
うおおお！,
大型ガドル ダイランドのせん滅完了,
各スタッフの皆様 ご苦労さまでした,
オキソンの注入を忘れずに,
適度に再起動を 行うようにしてください,2
すっげ…,
ぐっ ぐぐ… がはっ…,
ううう… 助けてくれ…,
イ… イテえ… 体が…,
あ…,
これが戦場だ,
んっ！,
戦士になりたいって考えは 変わったか？,
よーし いいぞ,
うるせえなあ また始まったぞ,
ったく 勝手に戦場出て 勝手に死んでりゃ 世話ねえな,
彼らは よき息子であり 娘だった,
よき夫であり 妻だった,
よき父であり 母だった,
そして 何よりも,
皆等しく 勇敢な戦士だった,
彼らは この ぼう漠とした 世界の中にあり,
その激烈な生を生きた,
私は 彼らの生き方を誇りに思う,
戦士たちの魂の 安らかならんことを,
うう…,
んだよ オヤジ,0
勝手に死んでんなよ,
うっ ううう…,
デカダンス,
それは ソリッド･クエイク社が おくる―,
かつてない興奮を体験できる 超巨大娯楽施設,
ここは 仮想空間ではなく,
広大なユーラシア大陸が舞台,
プレイヤーは 移動要塞 デカダンスに乗り込み,
すべてが本物の世界を楽しめる,
まず プレイヤーは ギアになって,
割り当てられた素体に,
お好みの カスタマイズをしよう,
準備ができたら 仲間と協力して,
ガドル狩りの冒険に出発,
うおおお！,
これって 死んだらどうなるの？,
ギア素体は生身だからな,
最初から やり直しだよ,0
げっ キツイな,
だから 緊張感あって人気なんだよ,0
お前もやってみろよ おもしれえぞ,0
変幻自在の無重力バトル,
経験を積んで ランキング上位を目指せ,
バラエティー豊かな 武器や防具,
ギア専用フロアの下に位置する タンクの街では,
絶滅危惧種の人間 タンカーとも触れ合える,
そして 満足度％を誇る かつてないスケールの大型戦を,
間近で味わおう！,
大型ガドル,
ダイランド せん滅完了,
各スタッフの皆様 ご苦労さまでした,
オキソンの注入を 忘れずに,
適度に再起動を 行うようにしてください,2
それでは 有益な１日を,
どもども カブラギさん お疲れっす,
ああ…,
見ましたよ,
ん？,
久しぶりの戦場じゃないっすか,
んっ！,
モニターで見たのか,1
ええ カッコよかったっすよ！,
やっぱ トップランカー時代を 思い出しますか？,2
聞いてます？,2
あれ？ カブラギさん？,
つーか オキソン 入れないんすか？,
なんだあ？ 変なの,1
クソ…,
俺は もう二度と戦場には…,
ドナテロさん,
リミッター解除って 知ってますか？,2
誰から聞いた？,
知らねえなら気にすんな,
えー？ 知ってるなら教えてくださいよ,2
てめえみてえな バカ正直なヤツには関係ねえだろ,
そんなあ…,
チラッ ん？,
ハァ…,
マイキー,
その腕がちぎれたら どうなる？,
え？ 痛いですね,2
おい ターキー,
いいじゃないすか やり方は 俺も知りませんし,
大丈夫です 教えてください,2
けっ バカが,
勝手にしろ,
お前の言うとおり―,0
素体の腕がちぎれたところで 痛みって感覚はあるが,
本体の腕が ちぎれるわけじゃねえ,
そりゃ そうっすよ,0
ホントにダメージ受けてたら 誰もやりません,
リミッター解除は その制限を外す,
要は 本当にダメージを受ける,
え？ 危ないじゃないですか,2
ああ,1
本体がスクラップになる 可能性もある,
と同時に 素体の制限も外れる,
だから 運動能力が 上がるってわけだ,
リスクと引き換えに パワーが増す,
そゆこと,
そんなことができるんですか？,2
いや 俺はやってない,
ああっ カブラギさん 動きキレキレなんで,
すみません つい,
痛みに取りつかれたプレイヤーが 作り出した チート行為らしいな,
あんなもんに手を出すのは,
バカか イカれ野郎がすることだ だろ？,
そういうことだ,
ああ…,
聞かなかったことにするが,
聞かなかったことにするが,
おおっ！,
聞かなかったことにするが,
危ない話は,
プライベートモードで やれよ,0
トップランカー諸君,
まもなく 交戦ポイントだ 今日もよろしく頼む,2
ドナテロ様に 任せとけって！,
今日も派手に暴れてやるぜ！,0
そうだな おめえら！,0
おうよ！ はい,
やったるぜ！,0
さあ パーティータイムだ！,
行け 行け 行け！,
うおおおお！,
やあああ！,
ギャ！,
ふんっ！,
カッケえ！,
おお…,
しみる…,
どもども カブラギさん,
おっ！ 高級オキソンすか？,
よお マックス,
ビーム浴びたいって顔してるな,
トップランカーは だてじゃないっすね,
おごってくれるんすか？,
ハァ… しかたないな ついてこい,
やっりい！,
高級オキソンも分けてほしいっす,
それは 無理な相談だな,0
ウヒョヒョヒョヒョ…,
おおおおお！,
ヒャハハハ… ハハハハ…,
あっ マイキー,
最近 順位上げてるって 評判っすよね,
そうなのか？,1
まっ カブラギさんには 遠く及ばないすけどね,
ほう…,
フン,
すみません 時間作ってもらって,
かまわん どうした？,
あ… 実は ここ最近 順位の伸びが悪くて,
カブラギさんに アドバイスを お願いしたくて,
伸びが悪い？,
ええ 最近 停滞してます,2
自分でも 何か足りないって 分かってるんですが,2
あ… なんですか？,2
そうだな,0
俺より ドナテロに 聞いてみたらどうだ？,
うーん…,
えっ！,
カブラギさん それって！,
ダメだ！,
やっぱり！,
リミッター解除のやり方 知ってるんですね！,2
教えてください！,2
あ…,
ありがとうございます,2
お前は 間違いなく トップランカーだ,0
今のままでも いいだろ,
俺 みんなと同じで なんの疑問もなかったんです,2
あ？,
自分が 会社の システムの所有物で,
代わりがきく存在であることに…,
スクラップは 役目を果たした誇りだと,
ずっと思ってました,
でも ランカーになって 変わったんです,2
フッ！,
あっ！,
もうイヤなんです！,2
代わりがきく状態に戻るのは！,
このままだと 俺はきっと,
順位が下がってしまいます,2
い… 一度染まったら 戻れなくなるぞ,
うまくやります！,2
使ってるプレイヤーだって いるんですよね？,2
だからといって,
プレイヤーとランカーが使うのでは 訳が違う,
バグとして スクラップにされちまうぞ,
限界まで あがきたいんです！,2
んっ！,
カブラギさん！,
どうか！ どうかお願いします！,2
％までだ…,
え？,
リミッター解除は ％までにすると約束しろ,
それなら攻撃を受けても 耐えられる,
あ…,
ありがとうございます！ ヘヘッ！,2
お前 何 ニヤニヤしてんだ？ 気持ちわりい,0
あ… すみません 戦場が楽しみで,
順位上がったからって 調子乗んなよ,
違うんです,2
ここにいられるのが うれしくて,
あっ そう,
トップランカー諸君,
まもなく交戦ポイントだ,
今日も頼むぞ,
これだ…,
もっと！,
もっと！,
フッ フフフ…,
世界にバグは不要です,2
うわ！ やめちくり,
あっ うわっ ああ…,
ピポピポ ピポ,
守秘義務違反は 重大なバグです,2
返していただきますよ,2
貴重な資源ですからね,2
ポピー ポピー,
あっ！,
プピー プピー！,
ふむ それは かなり重大な問題ですね,2
チート行為のランカーですか,2
あっ ああ…,
そんな なんで？,
マイキー…,
ギギギ… ガッガガ…,
あ…,
だっ 誰だ！ こいつに教えやがったヤツ！,
ターキーてめえか！ ええっ！,
ぐええっ 違う！,
ドナテロ やめろ！,
愚かな,
カブラギさん,
トップランカーのあなたを 拘束して 申し訳ない,
他のランカーが暴れたための 措置です,2
どうなってる？,
マイキーが 禁止行為である リミッター解除を行い,
スクラップとなりました,
よって ランカーチームは解散,
なっ！ チームに 責任はないだろ！,
あっ！,
リスクと引き換えに パワーが増す,
痛みに取りつかれたプレイヤーが 作り出した チート行為らしいな,
あ…,
くっ…,
これを受け,
ランカー全体の秩序の問題だと システムが判断しました,
あなたは明日から 私たちの 手足として働いてもらいます,2
昼は 装甲修理人,
夜は 回収人をしてください,2
回収人？,
回収人？,
んっ！,
人間たちの中には,
この世界にとって不都合な者たちが しばしば発生します,2
それらは すべてバグです,2
バグが世界にとって どれだけ危険な存在かは,
もう分かっていますね？,2
システムが そのバグを 消去しますので,2
あなたは 人間の中にある チップを回収してください,2
また みずからバグを発見し,
報告もしてください,2
ご不満ですか？,2
私もあなたも 企業の所有物,
プピー プピー 拒否することは…,
システムに 逆らうつもりはない,
よい心がけです,2
ドナテロたちとは違いますね,2
んっ！ どういう意味だ,
彼らは 愚かなことに,
システムの決定に 従わなかったのです,2
故に 矯正施設送りになりました ポピー ポピポピー,
あいつらが…,
では 復唱してください,2
“世界にバグは不要です”,2
ん…,
カブラギさん？,
くっ…,
世界にバグは不要です,2
そんなこと 自分で決めさせろ,
なあ マイキー…,
私に 戦い方を教えてください！,2
私 どうしても “かの力”に入りたいんです！,2
まだ言ってるのか,1
少しは フェンネルを 見習ったらどうだ,
あいつは あれ以来 外に出るのが怖いと言って,
内勤に回ったぞ,
死ぬのも 諦めるのもイヤです,2
何を言ってもムダだ,
分かりました…,
ここまで頼んでダメなら もうしかたないです,2
組長 ごめんなさい！,
なっ！,
いつの間に！,
もし教えてくれないなら パイプのこと バラしちゃいます！,2
なっ！,
そしたら 組長は デカダンスから追放されて,
かわいいパイプちゃんは ひき肉にされちゃいますよ！,2
お前 俺を脅してるのか？,0
そう聞こえたなら そういうことです,2
好きにしろ,
あ…,
すいません！ さっきのはウソです！,2
この写真は 大切にしてます…,2
でも なんでですか？,2
俺は もう 終わったんだ,
死ぬまで 同じ毎日を 過ごすしかない,
ん？,
それも あと少しだがな,
あ…,
こんばんは,
あら いらっしゃい ナツメちゃん,
あっ！ また値段上がりました？,
最近 出が悪くてね,
うん…,
ギリギリだなあ…,0
うん… よし 決めた！,
ん？,
組長？,
え？ なあに？,
んっ！ えっ！,
ちょっと ナツメちゃん！,
ハァ ハァ ハァ…,
あ…,
あれ？ どこだ？,
あっ！ どこに行くんだろう？,
んっ…,
えっ？,
ウソ！,
そんな…,
んっ…,
どうしよう…,
どうしよう…,
組長！ んっ！,
こんなことしないでください！,2
お前 見てたのか…,0
そうか…,
最後がお前のチップとはな,0
皮肉なもんだ,
ん？,
なんだ？,1
なぜ処理されない？,0
さっきから 何 訳分かんないこと言ってんですか！,2
っていうか 寝てる人から お金を盗むなんて ダメですよ！,2
は？,
組長 ホントは そんなことする人じゃないですよね？,2
しっかりしてくださいよ！,2
何があったか分かりませんが,
終わりだなんて言わないで 諦めないでください！,2
んっ…,
私が貸してあげますから！,2
はい！ なけなしの全財産！,
プッ！ ククク…,
ハハハ… あ…？,
むむっ！,
笑い事じゃないですよ！,2
そりゃ 全然 お金入ってないですけど！,2
分かったよ,
もう盗みはしないから 帰れ,
ちょっと なんなんですか その言い方！,2
ちょっと なんなんですか その言い方！,2
ハハハ…,
どうなってる,
すべての人間は チップで管理されてる,
たとえ盗みだと勘違いしても,
確実に処理されるはず,
何？,
どういうことだ？,
なっ！,
なんだと…,1
あいつ…,
システムに認識されてないのか…,1
バグ…,
で！ そんなこんなで,
かの力に入隊できなかったんです,2
ひどくないすか？,
なあ マイキー,
俺は…,
フフフフ…,
その気持ち悪い顔はなんだ,1
なんで 戦い方を教えてくれる気に なったんですか？,2
そうだな,0
この世界で バグが どうやって生きていくのか,1
確かめたくなったんだ,
はあ？ バグってなんですか？,2
お前のことだ,0
え？,
つまり 虫ケラみたいに 弱いって意味だ,
ちょっと ひどくないですか？,2
もし見込みがなかったら 諦めろよ,
え？ イヤです,2
おお！ すんごいですね,2
なんだ 初めて来たのか,1
かの力に 入隊できなかったんで,
うおお！,
これがギアの基地なんですね！,2
なんか 別の世界に 来たみたいです！,2
わ カッコいい！,
ん？ 肌屋？,
なんですか？ これ？,2
あっ！ ちょっと 待ってくださいよ！,2
世界にバグが不要なら,
あいつは 消去されなければならない,
世界にバグが不要なら,
あいつには なんの 価値もないことになる,
だが あのとき,
俺は… 確かに…,
救われたんだ,
なんで 戦い方を 教えてくれる気になったんですか？,2
そうだな,0
この世界で バグが どうやって生きていくのか,1
確かめたくなったんだ,
あいつ バグだったのか,1
ナツメ 父ちゃん すぐ帰ってくるからな,
待ってろよ,
うん,1
出してくれ！ 急げ！,
はい！,
うっ うう！,
うっ うう！,
マズい 輸血だ！,
ハァ ハァ…,
もっと血を足せ！,
なんで戦場に子供が…,
んっ クソ！ 心肺停止！,
フッ フッ フッ…,
エピネフリンだ ２ミリ！,
頑張れ 頑張れ 頑張れ！,
フッ フッ フッ…,
ゴホッ！,
よし 息を吹き返した！,
よく頑張った,
よかった,
このときに,
チップが イカれたってわけか,
えっ いきなり 実戦訓練ですか？,2
ああ…,
それが一番 手っ取り早い,
それが一番 手っ取り早い,
“かの力”に入れるかは 分からんが,
せめて 戦場で 犬死にしないようにしてやるよ,
ついて来れたらな,
の… 望むところです！,2
こんなところに…,
ユムシ,
新人には うってつけの 食肉ガドルだ,
攻撃力も弱い,
ギアも あいつで訓練する,
あっ…,
ギアも…,
まず ガドルと敵対したら,
ゾーンを展開させるのが鉄則だ,
え？,
ちょっと組長！ まだ心の準備が！,
ゾーンは分かるな？,
無視か…,
はい,
ガドルのバリアーですよね,2
ハァ…,
確かに ゾーンは ガドルの防衛反応だが,
そう単純じゃない,
あの中は 特殊な磁場が 発生していて 重力が不安定だ,
え？ え？ え？,
ちょちょちょっ うわああ！ あっ！,
ん…,
ん？ 何この光？,
波が見えるか？,
組長… この キラキラしたやつですか？,2
そうだ,
タンクがあれば 磁場の波に乗れるようになる,
なるほど…,
ん？,
あれは？,
ユムシの体を流れる オキソンの動脈だ,
オキソン…,
ガドルの血ですね？,2
ああ,1
オキソンは デカダンスも動かす 万能エネルギーだ,
攻撃に必要なのは もちろん,
磁場の波に乗るのにも オキソンを使用する,
つまり,
タンク内のオキソンが 空になると制御不能になる,
消費したら すぐに補給しろ,
オキソンに近づきさえすれば,
自動的に補給できるように 作られている,
わ… 分かりました,
中型ガドルは 再生能力が高く,
倒すには 失血死させるしかない,
だが 遠距離から 攻撃したところで,
ピイイイ！,
動脈には届かない,
うええっ！ 変形した！,
ひいっ！,
わっ！,
遠距離もダメで 切っても再生するんだったら…,
接近して攻撃する 早速やってみろ,
ええっ？ うわっ！,
ギャー！,
うわああ！ ぶっ！,
ハッ！,
力を抜いて 波をとらえるんだ 集中しろ,
うわあ！,
あああああ…,
あああああ…,
ユムシは 尻尾だけ 気をつけていれば問題ない,
あああああ…,
あああああ…,
動脈を狙え,
おい 聞いてるのか？,1
ああ… 無理 無理 無理！,
おえええ…,
ハァ…,
うああああ！,
見てろ,
うわっ！,
うっ,
来い うわっ！,
ひいっ！,
対ガドル戦では,
いかに効率よく ヤツらのエネルギーを奪い,
失血死させるかを 常に考えろ,
はい…,
うっ ううう…,
ぎぼち悪いです…,2
泣き言はなしだ,
今のは ただの… 感想です,2
ほお 楽しみだな へ？,0
見てみろ,
仲間のお出ましだ,
えええ？,
なんなんですか ここ？,2
ユムシの巣でもあるんだろ,
本当は ただの チュートリアルゾーンだけどな,
え？,
今度は １人でやれ 感想 楽しみにしてるぞ,
あ…,
え？,
えっ？ 訓練してるの？,
最近 ガドルが攻めてこないし 今のうちと思って,
そういえば オキソン減ってるね…,
もう 超キツくてさ 体 ガッタガタ…,
でも もしかしたら かの力に 入れるかもしれないから,
頑張りたいんだ フフフ…,
やめなよ え？,
タンカーは デカダンスの中に いればいいんだよ,0
この前 解体の仕事で 初めて外に出たけど…,
あんな地獄みたいなとこに出て,
生きて帰って来れるわけないよ,
ギアの人たちだって あんなにたくさん死んじゃうんだよ,0
あんなとこに出たら ナツメ ホントに死んじゃうよ,
その腕で戦うなんて…,
え…,
あっ ごめん…,
そろそろ行くね え…,
明日も訓練なんだ,1
あ…,
分かんないよ…,
うおおおお！,
おお… お？ お？,
あれ？ あれ？ お…,
ぶへっ,
ギャッ！,
うう うええ！,
ぶへえ…,
ぎょえっ,
うおおおお！,
うあっ！ うっ うっ…,
ううっ うああ！ ハァ…,
あ そこら中が痛い…,
戦士の一族とはいえ,
やっぱりギアの人たちは すごいですね,2
見るのと 実際やるのとじゃ 大違い,
そもそも タンカーが ガドルと戦おうってこと自体,1
ムチャな話だからな,
でも かの力にも,
タンカー部隊が あるじゃないですか,2
あれは 一応 許可を受けてるというだけで,
数も圧倒的に違うだろ,
私には 許可も 出なかったんですけどね,2
タンカー最強の女戦士 クレナイ,
あ？,
私 クレナイさんみたいに なれたらなあって,
ずっと思ってたんですよね,2
あんな華麗なのに メチャメチャ強くて,
戦士たちをまとめて…,
クレナイと一緒に戦いたいのか？,1
え？,
かの力に入れなくても 戦場に出ることはできるぞ,
でも 私は全然…,
諦めるか？,
んっ…,
あっ！,
新しい武器買ったんだ,
へえ 次の戦闘 楽しみだな,0
ん…,
私 ちゃんと強くなって かの力に入ります！,2
フッ… 今度は泣き言 言うなよ,
はいっ！,
フッ…,
ひいいい！,
浮遊感に 体を慣れさせろ,
体に よけいな力が入ってるんだ,
波に乗る感覚をたたき込め,
ごはっ！,
モタモタするな スピードが鍵だ,
針の装填を スムーズに できるようになれ,
制御レバーで タンクのオキソン使用量を,
コントロールできる,
方向転換や緊急回避に使え,
あ？,
うっ うう うあああ！,
んっ！,
くっ！,
ふっ！,
ほお…,
やった,
組長 やりましたよ… うっ！,
ううっ…,
前しか見てないからだ 気を抜くな,
んっ！,
カブラギさん,
この日と５時間分,
回収の仕事をされてませんね,
そっちが指定して こないからだろ？,
何か 勘違いしていませんか？,
本来は みずからバグを捜し 報告するのですよ,2
他の回収者たちは 皆そうやっています,2
他の回収者たちは 皆そうやっています,2
ヒイイ…,
周りに １体のバグも いないというのですか？,2
周りに １体のバグも いないというのですか？,2
たす… 助けて！,
周りに １体のバグも いないというのですか？,2
周りに １体のバグも いないというのですか？,2
ヒッ… ヒイイ！,
いないな…,
バグは必ずいます,2
バグは必ずいます,2
や… やめて…,
